"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
237,11,NA,"Gus Edwards","BAL","RB69",8,120,327,229.2,43.3,"259.0",22,0,""
238,11,NA,"Paul Richardson","WAS","WR85",10,157,341,233.6,39.2,"298.0",60,0,""
239,11,NA,"D.J. Chark","JAC","WR86",10,75,384,236.4,43.7,"319.0",80,0,""
240,11,NA,"Indianapolis (IND)","","DST17",6,159,307,241.4,24,"223.0",-17,0,""
241,11,NA,"Adam Vinatieri","IND","K13",6,198,276,240.1,13.5,"207.0",-34,0,""
242,11,NA,"Frank Gore","BUF","RB70",6,19,322,236.2,35.9,"269.0",27,0,""
243,12,NA,"Tennessee (TEN)","","DST18",11,195,299,234,19.6,"228.0",-15,0,""
244,12,NA,"Ryquell Armstead","JAC","RB71",10,134,334,236.1,47.6,"266.0",22,0,""
245,12,NA,"Cole Beasley","BUF","WR87",6,122,322,241.4,42.5,"246.0",1,0,""
246,12,NA,"Jason Witten","DAL","TE28",8,69,360,230.1,47.7,"199.0",-47,0,""
247,12,NA,"Kansas City (KC)","","DST19",12,145,340,247.4,34.1,"192.0",-55,0,""
248,12,NA,"Willie Snead","BAL","WR88",8,109,361,238.1,40.2,"299.0",51,0,""
249,12,NA,"D'Onta Foreman","IND","RB72",6,51,359,206.9,65,"171.0",-78,0,""
250,12,NA,"Ricky Seals-Jones","ARI","TE29",12,46,351,250.2,41.7,"322.0",72,0,""
251,12,NA,"Kenneth Dixon","BAL","RB73",8,120,345,230.7,52.5,"338.0",87,0,""
252,12,NA,"Eli Manning","NYG","QB30",11,39,325,257.4,30.2,"248.0",-4,0,""
253,12,NA,"Ian Thomas","CAR","TE30",7,133,365,246.8,42.9,"262.0",9,0,""
254,12,NA,"Danny Amendola","DET","WR89",5,137,375,242.7,44,"267.0",13,0,""
255,12,NA,"Darren Waller","OAK","TE31",6,106,375,204.4,52.7,"231.0",-24,0,""
256,12,NA,"Doug Martin","OAK","RB74",6,104,329,248.6,39.3,"324.0",68,0,""
257,12,NA,"Jason Myers","SEA","K14",11,200,308,253.5,18.8,"224.0",-33,0,""
258,12,NA,"Tony Pollard","DAL","RB75",8,104,336,211.1,61,"186.0",-72,0,""
259,12,NA,"Hayden Hurst","BAL","TE32",8,173,374,252.3,38.4,"309.0",50,0,""
260,12,NA,"Theo Riddick","DEN","RB76",10,143,386,238,50.5,"287.0",27,0,""
261,12,NA,"Graham Gano","CAR","K15",7,201,296,251.9,15.7,"249.0",-12,0,""
262,12,NA,"Phillip Dorsett","NE","WR90",10,175,361,257.2,40.2,"293.0",31,0,""
263,12,NA,"Dwayne Haskins","WAS","QB31",10,40,334,260.1,40.8,"220.0",-43,0,""
264,12,NA,"Josh Reynolds","LAR","WR91",9,192,366,254.5,35,"341.0",77,0,""
265,12,NA,"Carolina (CAR)","","DST20",7,200,325,258,22.1,"242.0",-23,0,""
266,12,NA,"Darwin Thompson","KC","RB77",12,113,381,230.3,64.1,"206.0",-60,0,""
267,12,NA,"Aldrick Rosas","NYG","K16",11,153,332,262.7,22.7,"225.0",-42,0,""
268,12,NA,"Equanimeous St. Brown","GB","WR92",11,159,350,252.3,36.2,"344.0",76,0,""
269,12,NA,"Keelan Cole","JAC","WR93",10,82,354,255.7,35.5,"353.0",84,0,""
270,12,NA,"Ryan Fitzpatrick","MIA","QB32",5,33,395,267,43.5,"271.0",1,0,""
271,12,NA,"Chris Boswell","PIT","K17",7,204,305,270.9,23.7,"274.0",3,0,""
272,12,NA,"Green Bay (GB)","","DST21",11,145,318,266.8,35.6,"229.0",-43,0,""
